category,file,distance_cm,angle_deg,mic,run_idx,run_trial_start,run_trial_end,roi_start,roi_end,roi_len,target_band_hz,cfg_id,method,order,bw_hz,energy_halfwidth_hz,roi_rms,envelope_peak,envelope_median,envelope_peak_prominence_ratio,envelope_peak_to_second_ratio,peak_count_over_35pct,false_peak_penalty,detectability_score,peak_index,peak_time_us,target_energy,off_energy,main_off_ratio,main_off_ratio_db,main_peak_power,secondary_peak_power,main_secondary_peak_ratio,main_secondary_peak_ratio_db,dominant_freq_hz,dominant_freq_error_hz,energy_40k,energy_50k,energy_60k
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw6500,iir,2,6500.0,1500.0,38.2376708566654,94.6535000402183,52.86293506265072,1.7905456805990347,1.0006870191225012,34.0,33.0,-3.1607238073323516,22.0,11.0,12756662.437686266,57550033.859353416,0.2216621187202476,-6.543085199502247,12756662.437686266,55711292.601198316,0.2289780373433999,-12.804123429009282,50793.6507936508,793.6507936507987,55711292.601198316,12756662.437686266,1838741.2581550966
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw6500,iir,2,6500.0,1500.0,37.79554593286833,68.15650530716198,53.15835802925557,1.2821409056624913,1.0000265508523851,64.0,63.0,-6.24063014524829,258.0,129.0,78021682.38136084,639024.376661233,122.095001741573,20.866978853987305,78021682.38136084,580506.905255283,134.40267751345718,42.568158412709835,60317.460317460325,317.4603174603253,58517.47140595004,580506.905255283,78021682.38136084
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o2_bw7000,iir,2,7000.0,1500.0,154.70552915970288,344.45100564889003,208.2449015891567,1.654066932829168,1.0000643126494133,2.0,1.0,0.02021676213882591,171.0,85.5,1182355004.9126709,793083.52061638,1490.8328999116652,31.73428968259715,1182355004.9126709,754613.6341105716,1566.8349357433203,63.900464929094234,41269.84126984127,1269.8412698412722,1182355004.9126709,754613.6341105716,38469.88650580847
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o2_bw7000,iir,2,7000.0,1500.0,45.24825125041756,105.81404792816537,63.24778537174778,1.6730079528670718,1.002209177838451,33.0,32.0,-3.0766448280202696,22.0,11.0,12974670.464012792,89763487.6897521,0.14454285141924195,-8.40003382138923,12974670.464012792,86866660.57000984,0.14936306263961774,-16.515135798093134,50793.6507936508,793.6507936507987,86866660.57000984,12974670.464012792,2896827.1197422654
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o2_bw7000,iir,2,7000.0,1500.0,38.10436650370874,69.29959741496559,52.61692276521302,1.3170591089903263,1.0001163654710417,67.0,66.0,-6.534194363244545,256.0,128.0,78136714.26654322,1039430.5113488589,75.17261944249256,18.760596838046897,78136714.26654322,930669.7380500198,83.95751045935877,38.48119104465967,60317.460317460325,317.4603174603253,108760.77329883917,930669.7380500198,78136714.26654322
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o3_bw2500,iir,3,2500.0,1500.0,128.0741171955978,240.06405986692576,180.66328087944242,1.3287927613089263,1.000169741739741,49.0,48.0,-4.732065340279498,217.0,108.5,820356525.0161585,22643.896338623475,36228.59391106133,45.590514787069836,820356525.0161585,22247.657084250295,36873.838980416076,91.33436709777908,41269.84126984127,1269.8412698412722,820356525.0161585,22247.657084250295,396.2392543731814
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o3_bw2500,iir,3,2500.0,1500.0,16.216795948495538,38.63191412591114,20.806122058175696,1.8567570649586285,1.0021542277197788,21.0,20.0,-1.8517641498817445,20.0,10.0,10521445.863874026,6620.445942230345,1589.2352200567143,32.01188181167362,10521445.863874026,4892.456145933131,2150.5447468588977,66.65096966890404,50793.6507936508,793.6507936507987,4892.456145933131,10521445.863874026,1727.9897962972148
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,60000.0,iir_o3_bw2500,iir,3,2500.0,1500.0,33.598577179864556,56.34432761039402,48.92577588550821,1.151628698587119,1.0000042941812926,49.0,48.0,-4.766277297351493,241.0,120.5,63607128.90258054,1226.8733153416276,51844.9037135255,47.14706072241506,63607128.90258054,1217.566743390171,52241.184516484034,94.36026031141256,60317.460317460325,317.4603174603253,9.306571951456478,1217.566743390171,63607128.90258054
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,40000.0,iir_o3_bw3000,iir,3,3000.0,1500.0,136.23349623980653,274.2608035557014,186.8301462542413,1.4679686820053208,1.0001356271247828,20.0,19.0,-1.8082792611618095,215.0,107.5,942971489.1572181,27332.79809422379,34499.63248938261,45.37814468734628,942971489.1572181,27016.865688077396,34903.0675891228,90.85727196524817,41269.84126984127,1269.8412698412722,942971489.1572181,27016.865688077396,315.93240614639217
Box,25cm_-10Grad.pickle,25,-10,Mic1,0,0,24,2915,3545,630,50000.0,iir_o3_bw3000,iir,3,3000.0,1500.0,17.298343388486636,46.15726903652524,21.70866270931328,2.1262142977015848,1.0028290983275696,22.0,21.0,-1.9192640139949821,20.0,10.0,10865522.456877606,16065.567099240658,676.3236174458582,28.301545533980224,10865522.456877606,13706.601335309495,792.7218565033329,57.98241664987615,50793.6507936508,793.6507936507987,13706.601335309495,10865522.456877606,2358.965763931163
