preprocessing,object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_mean,snr_db_median,snr_db_std,snr_db_q25,snr_db_q75,signal_power_mean,total_power_mean,reference_noise_power_mean
bandpassed,Dose,100,-10.0,40000.0,100,9.015151763637814,9.087663252545525,0.3601278744471182,8.805858509374126,9.244493991307149,21.950255187068006,24.694891245416,2.7446360583479934
bandpassed,Dose,100,-10.0,50000.0,100,14.21255427652359,14.20293099552781,0.24587942841214386,14.05447175055189,14.382220443069926,19.962497843181428,20.718059426961915,0.755561583780484
bandpassed,Dose,100,-10.0,60000.0,100,17.45598846361094,17.486625289449886,0.324589006688249,17.26393747202126,17.683097054335303,10.534661054285543,10.723389259187464,0.1887282049019211
bandpassed,Dose,100,-5.0,40000.0,100,7.683676112844854,7.669119443808251,0.3663368823185257,7.462259368139915,7.8850070962601535,16.1577868831939,18.902422941541897,2.7446360583479934
bandpassed,Dose,100,-5.0,50000.0,100,12.049357374959168,12.142313412626287,0.41630025471600446,11.814951449382479,12.302505147101755,12.16584127495892,12.921402858739405,0.755561583780484
bandpassed,Dose,100,-5.0,60000.0,100,14.591879491510277,14.874716963113453,0.9484082027971179,14.516262080361432,15.179240497365685,5.548718615936274,5.737446820838195,0.1887282049019211
bandpassed,Dose,100,0.0,40000.0,100,13.660026493480805,13.746760329865594,0.35302066626409123,13.459316011855618,13.907729490173434,63.954728661153304,66.69936471950129,2.7446360583479934
bandpassed,Dose,100,0.0,50000.0,100,17.854172654613773,17.95345741461629,0.39122574932312615,17.659088176841234,18.151598018189485,46.27813955597422,47.033701139754704,0.755561583780484
bandpassed,Dose,100,0.0,60000.0,100,19.68234493863909,19.77228379930369,0.44603690570700005,19.542888899628878,20.005339709041703,17.62961963171395,17.81834783661587,0.1887282049019211
bandpassed,Dose,100,5.0,40000.0,100,10.40408726100591,10.48825175046479,0.43488444038972834,10.214440362704169,10.72102889332175,30.267710168805735,33.01234622715373,2.7446360583479934
bandpassed,Dose,100,5.0,50000.0,100,15.510923098663762,15.619379072303587,0.48442413562594455,15.381221032502541,15.848540688782776,27.034173476027572,27.78973505980806,0.755561583780484
bandpassed,Dose,100,5.0,60000.0,100,18.42867189601875,18.545007643723174,0.6460169915453199,18.325580244919916,18.85599529126299,13.277330923628199,13.46605912853012,0.1887282049019211
bandpassed,Dose,100,10.0,40000.0,100,4.761365260180577,4.782402129103558,0.5359120634599462,4.456971859988366,5.10545326002215,8.276667351896132,11.021303410244125,2.7446360583479934
bandpassed,Dose,100,10.0,50000.0,100,11.368918926126371,11.505349099105345,0.5481460484952767,11.109514280512988,11.761645418269964,10.434462133663251,11.190023717443735,0.755561583780484
bandpassed,Dose,100,10.0,60000.0,100,16.207349424114078,16.385857626704748,0.6338734565349624,15.919736933355784,16.631480536482332,7.960750854134602,8.149479059036523,0.1887282049019211
bandpassed,Dose,125,-10.0,40000.0,100,5.689110033720038,5.704264424121458,0.9359114966086973,5.255122369970743,6.1500677582271726,13.444423375512196,16.992092577108163,3.547669201595964
bandpassed,Dose,125,-10.0,50000.0,100,19.30715914933843,19.317331341307586,0.6940516519642456,18.96237971752138,19.61573748842396,11.539727880477146,11.673408176771028,0.1336802962938819
bandpassed,Dose,125,-10.0,60000.0,100,11.252878644201212,11.26380354086941,0.6374152763132861,10.966416564245996,11.533597693898923,4.083297155156551,4.386074794083116,0.3027776389265652
bandpassed,Dose,125,-5.0,40000.0,100,9.039252085715228,9.132337910873016,0.4640146345551327,8.743755345639329,9.349964801730009,28.59399289427607,32.141662095872036,3.547669201595964
bandpassed,Dose,125,-5.0,50000.0,100,21.70060169032054,21.77090594223626,0.4248362792768417,21.421687887528446,22.016085363955007,19.867708493551206,20.001388789845084,0.1336802962938819
bandpassed,Dose,125,-5.0,60000.0,100,12.812058477294274,12.880652167363138,0.4518712604726971,12.52033972200634,13.140612040757498,5.815849355507399,6.1186269944339635,0.3027776389265652
bandpassed,Dose,125,0.0,40000.0,100,11.847126103008804,11.854316164430111,0.26463717462303965,11.7037066258067,11.998997652591168,54.380950088982125,57.9286192905781,3.547669201595964
bandpassed,Dose,125,0.0,50000.0,100,24.358649444476672,24.366166319848183,0.25574300715885584,24.211377664242796,24.50696557076852,36.53186463025595,36.665544926549835,0.1336802962938819
bandpassed,Dose,125,0.0,60000.0,100,15.471485926347821,15.477329359469362,0.29322276231847805,15.311817220477286,15.654719481546564,10.696470213509988,10.999247852436554,0.3027776389265652
bandpassed,Dose,125,5.0,40000.0,100,9.4358340379203,9.485663283495022,0.4419680391904449,9.166865351316389,9.680559209948827,31.312774935838227,34.8604441374342,3.547669201595964
bandpassed,Dose,125,5.0,50000.0,100,22.334340389426064,22.343621375617353,0.42340516331773415,22.065154403983136,22.55161459940591,22.989454594462988,23.12313489075687,0.1336802962938819
bandpassed,Dose,125,5.0,60000.0,100,13.804546733451684,13.791163720664771,0.5473681277769368,13.540955561705335,14.093717240182793,7.327919244583535,7.6306968835101,0.3027776389265652
bandpassed,Dose,125,10.0,40000.0,100,8.677233025360326,8.792637822001328,0.42600675586438247,8.493679553205942,8.966008043200826,26.283257931242456,29.83092713283842,3.547669201595964
bandpassed,Dose,125,10.0,50000.0,100,21.595141538131166,21.7287206827482,0.4214987420826277,21.477754490885914,21.860107892995075,19.38841417729122,19.522094473585106,0.1336802962938819
bandpassed,Dose,125,10.0,60000.0,100,13.296539763602757,13.520376223197665,0.6083752172512515,13.15173642042662,13.70254314226578,6.527804569033915,6.83058220796048,0.3027776389265652
bandpassed,Glas,25,-10.0,40000.0,100,14.729472301874289,14.716804451710935,0.056920638651762716,14.694216611753461,14.7676219044893,20882.198607229882,21584.934317735857,702.735710505975
bandpassed,Glas,25,-10.0,50000.0,100,24.012940218070618,24.011486904797437,0.04425287015480716,23.986859977776728,24.044816876301375,18990.08922820256,19065.461340557013,75.37211235445429
bandpassed,Glas,25,-10.0,60000.0,100,20.709641597463843,20.7155217244592,0.04060111536124775,20.687104930734446,20.73963835051136,11049.587627718993,11143.422257838349,93.8346301193543
bandpassed,Glas,25,-5.0,40000.0,100,17.195302819972586,17.191232732232187,0.059424201936307895,17.17027303764745,17.22201333042173,36843.64157737756,37546.37728788354,702.735710505975
