object,distance_cm,angle_deg,mic,trial,filename,band_center_hz,roi_start,roi_end,roi_length,snr_db_preprocessed,snr_db_denoised,snr_improvement_db,reference_roi_noise_power_mean_pre,reference_roi_noise_power_mean_denoised,denoised_roi_power_mean,denoised_estimated_signal_power
Box,100,-10.0,Mic2,40,100cm_-10Grad.pickle,40000,11550,12180,630,14.802358166593878,14.61885115617077,-0.18350701042310824,2.7446360583479934,1.8027881124058476,54.0219384722252,52.21915035981935
Box,100,-10.0,Mic2,40,100cm_-10Grad.pickle,50000,11550,12180,630,20.330431059959437,16.213868714719045,-4.116562345240393,0.755561583780484,0.5916083103643819,25.332829810924228,24.741221500559845
Box,100,-10.0,Mic2,40,100cm_-10Grad.pickle,60000,11550,12180,630,24.246245529033832,20.403867551778742,-3.84237797725509,0.1887282049019211,0.18434095632273084,20.41493294789395,20.230591991571217
Box,100,-10.0,Mic2,41,100cm_-10Grad.pickle,40000,11550,12180,630,15.292518875981918,15.127594890695109,-0.16492398528680852,2.7446360583479934,1.8027881124058476,60.51171940002384,58.70893128761799
Box,100,-10.0,Mic2,41,100cm_-10Grad.pickle,50000,11550,12180,630,20.789736007239643,16.774543438501194,-4.015192568738449,0.755561583780484,0.5916083103643819,28.74227014622455,28.150661835860166
Box,100,-10.0,Mic2,41,100cm_-10Grad.pickle,60000,11550,12180,630,24.638989169622704,20.507319894471678,-4.131669275151026,0.1887282049019211,0.18434095632273084,20.902627040336323,20.71828608401359
Box,100,-10.0,Mic2,42,100cm_-10Grad.pickle,40000,11550,12180,630,15.015199611205004,14.58444945281184,-0.4307501583931632,2.7446360583479934,1.8027881124058476,53.609929677156295,51.807141564750445
Box,100,-10.0,Mic2,42,100cm_-10Grad.pickle,50000,11550,12180,630,20.667051241851688,17.04298644849013,-3.6240647933615584,0.755561583780484,0.5916083103643819,30.537200836377792,29.94559252601341
Box,100,-10.0,Mic2,42,100cm_-10Grad.pickle,60000,11550,12180,630,24.657876959344787,20.62882545876245,-4.029051500582337,0.1887282049019211,0.18434095632273084,21.49046161111746,21.30612065479473
Box,100,-10.0,Mic2,43,100cm_-10Grad.pickle,40000,11550,12180,630,15.26913569045969,14.803853633526414,-0.46528205693327607,2.7446360583479934,1.8027881124058476,56.29444947235015,54.4916613599443
