object,filename,distance_cm,mic,trial,band_center_hz,roi_start,roi_end,roi_length,raw_roi_power,raw_ref_noise_power,snr_db_raw,denoised_roi_power,denoised_ref_noise_power,snr_db_denoised,snr_improvement_db
Box,100cm_-5Grad.pickle,100,Mic2,5,50000,11550,12180,630,175.26682722805182,5.503607616684235,14.891961401418481,175.02884586896116,5.499373298582872,14.889320101888766,-0.0026412995297153685
Box,100cm_-5Grad.pickle,100,Mic2,6,50000,11550,12180,630,174.61094444846304,5.503607616684235,14.875149871338479,174.39074686868113,5.499373298582872,14.872942670870659,-0.002207200467820414
Box,100cm_-5Grad.pickle,100,Mic2,7,50000,11550,12180,630,202.94866463338815,5.503607616684235,15.547988027432677,202.72129539624018,5.499373298582872,15.54641986379404,-0.001568163638637543
Box,100cm_-5Grad.pickle,100,Mic2,8,50000,11550,12180,630,224.37350415017633,5.503607616684235,15.995385695909183,224.15889053475343,5.499373298582872,15.994551842392147,-0.0008338535170366868
Box,100cm_-5Grad.pickle,100,Mic2,9,50000,11550,12180,630,187.53468976951586,5.503607616684235,15.194980879030393,187.32897299233184,5.499373298582872,15.193513819307663,-0.0014670597227297577
Box,100cm_-5Grad.pickle,100,Mic2,10,50000,11550,12180,630,163.2037004137311,5.503607616684235,14.57184485864071,163.00973346133145,5.499373298582872,14.569959238801605,-0.00188561983910418
Box,100cm_-5Grad.pickle,100,Mic2,11,50000,11550,12180,630,162.0793665118243,5.503607616684235,14.540770623061842,161.88221820321405,5.499373298582872,14.53875908836746,-0.002011534694382533
Box,100cm_-5Grad.pickle,100,Mic2,12,50000,11550,12180,630,149.49468662271613,5.503607616684235,14.17688123112498,149.30269013893226,5.499373298582872,14.174557025348662,-0.002324205776318422
Box,100cm_-5Grad.pickle,100,Mic2,13,50000,11550,12180,630,162.69236833702846,5.503607616684235,14.557740269542567,162.48008283378155,5.499373298582872,14.555330870334377,-0.002409399208190166
Box,100cm_-5Grad.pickle,100,Mic2,14,50000,11550,12180,630,163.71353023686595,5.503607616684235,14.585862551041565,163.5044843946794,5.499373298582872,14.583579349125923,-0.002283201915641797
Box,100cm_-5Grad.pickle,100,Mic2,15,50000,11550,12180,630,148.85784032263638,5.503607616684235,14.157630575170083,148.65087727943367,5.499373298582872,14.154827144932923,-0.0028034302371597875
Box,100cm_-5Grad.pickle,100,Mic2,16,50000,11550,12180,630,181.46533749968376,5.503607616684235,15.0477075986168,181.232501460155,5.499373298582872,15.045404391389157,-0.0023032072276425453
Box,100cm_-5Grad.pickle,100,Mic2,17,50000,11550,12180,630,167.214853826538,5.503607616684235,14.680927609485842,166.99653022658893,5.499373298582872,14.67851680529241,-0.002410804193431204
Box,100cm_-5Grad.pickle,100,Mic2,18,50000,11550,12180,630,165.81329826102623,5.503607616684235,14.643123130208009,165.6079038946646,5.499373298582872,14.641012711019368,-0.0021104191886411883
Box,100cm_-5Grad.pickle,100,Mic2,19,50000,11550,12180,630,167.6600305081951,5.503607616684235,14.692866923997723,167.44908260749727,5.499373298582872,14.690669721308529,-0.0021972026891941
Box,100cm_-5Grad.pickle,100,Mic2,20,50000,11550,12180,630,150.88418457673558,5.503607616684235,14.218589250525335,150.68837940220828,5.499373298582872,14.216205315974006,-0.0023839345513287924
Box,100cm_-5Grad.pickle,100,Mic2,21,50000,11550,12180,630,159.08148382170262,5.503607616684235,14.456811945095644,158.86512849723812,5.499373298582872,14.454151968166675,-0.002659976928969243
Box,100cm_-5Grad.pickle,100,Mic2,22,50000,11550,12180,630,157.4946630991564,5.503607616684235,14.411705678913428,157.28965159120037,5.499373298582872,14.409307565239374,-0.002398113674054514
Box,100cm_-5Grad.pickle,100,Mic2,23,50000,11550,12180,630,142.5126291907167,5.503607616684235,13.961017018784801,142.31955622144966,5.499373298582872,13.958369660418679,-0.0026473583661221767
Box,100cm_-5Grad.pickle,100,Mic2,24,50000,11550,12180,630,143.2345268851001,5.503607616684235,13.98383983120354,143.02919000890498,5.499373298582872,13.980836635143959,-0.0030031960595806595
Box,100cm_-5Grad.pickle,100,Mic2,25,50000,11550,12180,630,179.2331012109112,5.503607616684235,14.992260907045523,179.01459455081203,5.499373298582872,14.990243776733351,-0.0020171303121720996
