object,distance_cm,angle_deg,band_center_hz,n_trials,snr_db_preprocessed_mean,snr_db_denoised_mean,snr_improvement_db_mean,snr_improvement_db_median,snr_improvement_db_std
Glas,50,0.0,40000,100,15.542547568745073,13.918860731466202,-1.623686837278871,-1.6185862043658572,0.05322181032177042
Glas,50,0.0,50000,100,19.828467149294426,14.360109823757785,-5.4683573255366404,-5.472493779427386,0.06945442464054963
Glas,50,0.0,60000,100,20.26268858909762,13.266813706115952,-6.995874882981668,-6.981356513760322,0.10061276360285917
Glas,50,5.0,40000,100,15.204463324406538,12.664762700680805,-2.5397006237257336,-2.540004049115783,0.04775816979384337
Glas,50,5.0,50000,100,20.795101744763077,18.214836735302132,-2.5802650094609465,-2.585147523621865,0.032756781627475196
Glas,50,5.0,60000,100,22.260149039704093,15.03234741000251,-7.227801629701583,-7.219163934027731,0.09111218311321713
Glas,50,10.0,40000,100,14.372402153097845,12.912271491589308,-1.460130661508535,-1.4583391344905454,0.0327449321210336
Glas,50,10.0,50000,100,20.011037644395184,15.693843010202343,-4.317194634192844,-4.3151291287198665,0.054227138225468784
Glas,50,10.0,60000,100,22.17333900156641,18.08999254025663,-4.083346461309778,-4.086362229026188,0.04950036590278817
Glas,75,-10.0,40000,100,17.98945395472807,17.332981541657656,-0.6564724130704167,-0.6563583103753334,0.026259831786701666
Glas,75,-10.0,50000,100,26.623895456036895,22.26860954100825,-4.355285915028646,-4.357644952390471,0.05475563930978163
Glas,75,-10.0,60000,100,25.94695044766359,18.994493359936737,-6.952457087726852,-6.9239696574186045,0.18564118836290902
Glas,75,-5.0,40000,100,18.84169810296285,17.971207069254763,-0.8704910337080883,-0.8710113261799659,0.030011144390566003
Glas,75,-5.0,50000,100,26.885232498357514,19.589290068248037,-7.295942430109476,-7.297428406555589,0.11945602874088987
Glas,75,-5.0,60000,100,25.71929618739521,19.545159436485484,-6.174136750909724,-6.110749211547402,0.24204085315189391
Glas,75,0.0,40000,100,17.073257400012395,16.011740234275358,-1.0615171657370364,-1.0591510233859358,0.05324183352811567
Glas,75,0.0,50000,100,25.53128315306541,20.793488190345286,-4.737794962720125,-4.724728222865849,0.138389865784432
Glas,75,0.0,60000,100,24.783144707742075,18.74191389146621,-6.041230816275865,-6.056655965616361,0.14136017821374738
Glas,75,5.0,40000,100,9.845255765161552,9.492975881020065,-0.3522798841414877,-0.3441183432241637,0.08798190573195232
Glas,75,5.0,50000,100,18.116980978669748,8.120659152474126,-9.996321826195622,-9.902677608892034,0.4334169209968606
Glas,75,5.0,60000,100,16.74788997103907,11.543014075696915,-5.2048758953421554,-4.911560343237149,0.7591724350318866
Glas,75,10.0,40000,100,8.193925013694145,7.176863970904541,-1.017061042789604,-1.018308970370772,0.08282464752481741
Glas,75,10.0,50000,100,16.989477716186624,2.2057665634769994,-14.783711152709623,-14.541573205082411,1.0488363919515227
Glas,75,10.0,60000,100,16.83883783751993,14.330650919588722,-2.5081869179312073,-2.4989662965931894,0.13354536106052403
Glas,100,-10.0,40000,100,15.66869294580141,15.717515024841173,0.048822079039762406,0.029918516282733343,0.10010452021891238
Glas,100,-10.0,50000,100,20.006802984397233,12.598081672736354,-7.4087213116608766,-7.305659486808694,0.4352882275986044
Glas,100,-10.0,60000,100,22.714865891316446,18.397421711127876,-4.317444180188571,-4.318170684672507,0.24610614776711776
Glas,100,-5.0,40000,100,20.922082076326657,21.313144759858552,0.3910626835318945,0.40029571344831716,0.06313328934251679
