object,distance_cm,angle_deg,mic,trial,band_center_hz,preprocessing,filename,roi_start,roi_end,roi_length,object_roi_power_mean,reference_roi_noise_power_mean,estimated_signal_power,snr_db
Box,100,-10.0,Mic2,3,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,141.68383655523192,7.729326246839716,133.9545103083922,12.388157022760653
Box,100,-10.0,Mic2,3,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,107.1734680749043,2.7446360583479934,104.42883201655631,15.803356559729096
Box,100,-10.0,Mic2,3,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.56882075128111,0.755561583780484,100.81325916750062,21.252477868849375
Box,100,-10.0,Mic2,3,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.87336063478196,0.18872820490192116,60.68463242988004,25.072419166294647
Box,100,-10.0,Mic2,4,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,130.22028871409435,7.729326246839716,122.49096246725463,11.999624083013407
Box,100,-10.0,Mic2,4,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,98.82127844390328,2.7446360583479934,96.07664238555529,15.441330525671813
Box,100,-10.0,Mic2,4,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,93.30492980013548,0.755561583780484,92.54936821635499,20.881035901234863
Box,100,-10.0,Mic2,4,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.06004661349321,0.18872820490192116,54.87131840859129,24.635085861271413
Box,100,-10.0,Mic2,5,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,136.06947680832303,7.729326246839716,128.3401505614833,12.202209056412785
Box,100,-10.0,Mic2,5,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,104.90412073604594,2.7446360583479934,102.15948467769795,15.707939288575574
Box,100,-10.0,Mic2,5,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,95.68518617453333,0.755561583780484,94.92962459075284,20.99131895127398
Box,100,-10.0,Mic2,5,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,55.215400240454386,0.18872820490192116,55.026672035552465,24.647364387494104
Box,100,-10.0,Mic2,6,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,150.2588651523759,7.729326246839716,142.52953890553619,12.657632413595614
Box,100,-10.0,Mic2,6,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,115.9431834124287,2.7446360583479934,113.1985473540807,16.153560890109937
Box,100,-10.0,Mic2,6,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,105.46810481860497,0.755561583780484,104.71254323482448,21.417288394806594
Box,100,-10.0,Mic2,6,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,61.30999643826708,0.18872820490192116,61.12126823336516,25.103555479276007
Box,100,-10.0,Mic2,7,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,143.63742536747532,7.729326246839716,135.9080991206356,12.45103699448498
Box,100,-10.0,Mic2,7,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,110.34418643444907,2.7446360583479934,107.59955037610108,15.933256918622492
Box,100,-10.0,Mic2,7,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,100.79697693388226,0.755561583780484,100.04141535010177,21.21909959058719
Box,100,-10.0,Mic2,7,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,58.34478890826566,0.18872820490192116,58.15606070336374,24.887581720847454
Box,100,-10.0,Mic2,8,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,98.45131681592748,7.729326246839716,90.72199056908777,10.695709318858192
Box,100,-10.0,Mic2,8,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,68.02180207294855,2.7446360583479934,65.27716601460055,13.762765267165767
Box,100,-10.0,Mic2,8,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,72.99726809477143,0.755561583780484,72.24170651099094,19.805181281495337
Box,100,-10.0,Mic2,8,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,49.14628903384978,0.18872820490192116,48.95756082894786,24.139829630807824
Box,100,-10.0,Mic2,9,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,121.14986589604342,7.729326246839716,113.4205396492037,11.665500705019463
Box,100,-10.0,Mic2,9,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,89.9065355224842,2.7446360583479934,87.16189946413621,15.018419212872375
Box,100,-10.0,Mic2,9,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,87.14888780241054,0.755561583780484,86.39332621863005,20.582103267581378
Box,100,-10.0,Mic2,9,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,53.488246586063354,0.18872820490192116,53.299518381161434,24.508864756136948
Box,100,-10.0,Mic2,10,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,156.20644168107285,7.729326246839716,148.47711543423313,12.835178828186958
Box,100,-10.0,Mic2,10,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,119.2352849082419,2.7446360583479934,116.4906488498939,16.278062995864364
Box,100,-10.0,Mic2,10,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,111.50275667838358,0.755561583780484,110.74719509460309,21.66062867328243
Box,100,-10.0,Mic2,10,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,65.53547750393595,0.18872820490192116,65.34674929903403,25.393871791860782
Box,100,-10.0,Mic2,11,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,143.28836247039266,7.729326246839716,135.55903622355294,12.43986833693115
Box,100,-10.0,Mic2,11,40000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,108.73750518768468,2.7446360583479934,105.99286912933668,15.86791883570201
Box,100,-10.0,Mic2,11,50000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,101.90161057688928,0.755561583780484,101.14604899310879,21.266790545697308
Box,100,-10.0,Mic2,11,60000.0,bandpassed,100cm_-10Grad.pickle,11550,12180,630,60.36691634966631,0.18872820490192116,60.17818814476439,25.036022986780747
Box,100,-10.0,Mic2,12,,detrended_only,100cm_-10Grad.pickle,11550,12180,630,127.54866346534307,7.729326246839716,119.81933721850335,11.903852741538682
