object,distance_cm,angle_deg,band_center_hz,n_trials,snr_gain_db_mean,snr_gain_db_median,snr_gain_db_std,snr_db_bandpassed_mean,snr_db_detrended_only_mean
Dose,125,-10.0,60000.0,100,11.56103343516769,11.511327408429086,0.5980091879289693,11.252878644201212,-0.30815479096647935
Dose,125,-5.0,40000.0,100,6.132511757748109,6.122493246528595,0.2107120788972025,9.039252085715228,2.906740327967118
Dose,125,-5.0,50000.0,100,18.793861362353425,18.77518750585257,0.20688474628932488,21.70060169032054,2.906740327967118
Dose,125,-5.0,60000.0,100,9.905318149327154,9.901188812117429,0.22086031872371428,12.812058477294274,2.906740327967118
Dose,125,0.0,40000.0,100,6.257878510545063,6.273550511728414,0.10827466681013186,11.847126103008804,5.5892475924637415
Dose,125,0.0,50000.0,100,18.769401852012933,18.779191054940988,0.11135388279456924,24.358649444476672,5.5892475924637415
Dose,125,0.0,60000.0,100,9.882238333884079,9.888482563475371,0.14592696350173626,15.471485926347821,5.5892475924637415
Dose,125,5.0,40000.0,100,6.276376533022559,6.26112240802897,0.17253372569047573,9.4358340379203,3.1594575048977407
Dose,125,5.0,50000.0,100,19.174882884528323,19.15251575566832,0.18202566605413867,22.334340389426064,3.1594575048977407
Dose,125,5.0,60000.0,100,10.645089228553942,10.64286476036742,0.24160699006562322,13.804546733451684,3.1594575048977407
Dose,125,10.0,40000.0,100,6.178283527526917,6.198174583873554,0.21559534475840753,8.677233025360326,2.498949497833409
Dose,125,10.0,50000.0,100,19.096192040297755,19.089056758884034,0.22148458488188105,21.595141538131166,2.498949497833409
Dose,125,10.0,60000.0,100,10.797590265769347,10.765256371584305,0.32482010315060483,13.296539763602757,2.498949497833409
Glas,25,-10.0,40000.0,100,1.086407437667291,1.08470997367162,0.015303941282599353,14.729472301874289,13.643064864206998
Glas,25,-10.0,50000.0,100,10.369875353863618,10.370201577039918,0.006897602924679954,24.012940218070618,13.643064864206998
Glas,25,-10.0,60000.0,100,7.066576733256845,7.069003711815144,0.03626776104092619,20.709641597463843,13.643064864206998
Glas,25,-5.0,40000.0,100,1.4742089807047265,1.4720120172012798,0.012573812730410982,17.195302819972586,15.721093839267859
