category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Box,<mean_over_trials>,<mean_over_trials>,125.0,5.0,-1,100,True,0.1089446784345727,1.2452433726146819,0.042727273633954746,1.2504097853896574,1.25,1.2511395810661574,1.9570706515328966,6.641864587215199,0.11395810661574135,-3.042929348467112,45.0,5,3.8420431081846197e-07,-1.3142715925204864e-08,4.823433241010883e-10,3.846866541425631e-07
Box,<mean_over_trials>,<mean_over_trials>,125.0,10.0,-1,100,True,0.2170602220836629,1.23100969126526,-0.38780729135412406,1.188599506510719,1.25,1.250265284691592,-18.070078715534166,60.63524821284446,0.026528469159203816,-28.07007871553418,45.0,5,3.8260133069126846e-07,1.2497606153313686e-07,4.0859429206103494e-08,4.2346075989737196e-07
Dose,<mean_over_trials>,<mean_over_trials>,25.0,-10.0,-1,100,True,-0.04341204441673258,0.246201938253052,-0.06685744707860938,0.24535102194096672,0.25,0.2542971533410191,-15.242844182914551,2.3460838956604104,0.42971533410191,-5.242844182914553,45.0,7,1.5899380167558275e-08,4.335977188226478e-09,1.2177719464042695e-09,1.7117152113962545e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,-5.0,-1,100,True,-0.02178893568691454,0.2490486745229364,0.07229204083819957,0.2468161962144654,0.25,0.25718548536480323,16.325217328625705,9.410746040201523,0.7185485364803235,21.325217328625712,-45.0,4,1.625077497834852e-08,-4.7640366496193825e-09,1.4322813229996646e-09,1.7683056301348185e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,0.0,-1,100,True,0.0,0.25,0.06248949628821294,0.25486513831412644,0.25,0.2624141304774447,13.77638189867374,6.267859855780249,1.2414130477444718,13.776381898673748,-45.0,7,1.6938969031452e-08,-4.156967679895861e-09,1.0549749642583691e-09,1.799394399571037e-08
Dose,<mean_over_trials>,<mean_over_trials>,25.0,5.0,-1,100,True,0.02178893568691454,0.2490486745229364,14.461785053748397,-17.97750903469823,0.25,23.072365679172933,141.18549139208633,2325.340606915899,2282.236567917293,136.1854913920863,45.0,20,0.0001289099934106374,0.00010369036151986654,8.340468984797273e-05,0.00021231468325861013
Dose,<mean_over_trials>,<mean_over_trials>,25.0,10.0,-1,100,True,0.04341204441673258,0.246201938253052,0.057238631153333636,0.26160981828234287,0.25,0.26779835309058164,12.341487412357488,2.070210781011857,1.7798353090581642,2.3414874123574805,-45.0,6,1.7649729786645873e-08,-3.865365185862047e-09,8.809436157897367e-10,1.853067340243561e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,-10.0,-1,100,True,-0.08682408883346517,0.492403876506104,-0.09876853422064648,0.4855488684837921,0.5,0.49549261047767995,-11.498017080146157,1.3771743193703467,-0.4507389522320049,-1.4980170801461554,45.0,5,6.02513626026351e-08,1.2278692792382667e-08,2.5364021167412504e-09,6.278776471937634e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,-5.0,-1,100,True,-0.04357787137382908,0.4980973490458728,-0.17411898185876437,0.4643739320277162,0.5,0.49594411841498304,-20.5537473404988,13.482674208783868,-0.40558815850169627,-15.553747340498802,45.0,6,6.014656733502156e-08,2.2597321478881016e-08,8.527284780346004e-09,6.867385211536757e-08
Dose,<mean_over_trials>,<mean_over_trials>,50.0,0.0,-1,100,True,0.0,0.5,-0.18064928161867447,0.47006089895267217,0.5,0.5035786052579453,-21.022285872385556,18.311338760687395,0.35786052579452887,-21.022285872385567,45.0,5,6.199660798887188e-08,2.387369694417096e-08,9.230907081492054e-09,7.122751507036394e-08
