category,file,relative_path,distance_cm,angle_deg,trial,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,39,True,-0.13023613325019776,0.738605814759156,-0.31053165182404274,0.6766326529859726,0.75,0.7444875108901452,-24.65213380638363,19.06492769406085,-0.5512489109854801,-14.652133806383631,45.0,8,1.352442175438181e-07,6.2177605052263e-08,2.862538053291281e-08,1.638695980767309e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,40,True,-0.13023613325019776,0.738605814759156,-0.17987099908555768,0.7214684553009887,0.75,0.7435524919643747,-13.999155871359054,5.25100847046795,-0.6447508035625327,-3.9991558713590507,45.0,7,1.3550468817547786e-07,3.3837143362532057e-08,8.48431480307311e-09,1.4398900297855097e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,41,True,-0.13023613325019776,0.738605814759156,143.6041398202411,-12.843185934596164,0.75,144.17730888895787,95.11063101952806,14437.463730815893,14342.730888895787,105.11063101952806,5.0,20,0.0014155670741299734,0.01582589470638866,0.1769318838154521,0.1783474508895821
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,42,True,-0.13023613325019776,0.738605814759156,143.58898885296085,-13.92040388558425,0.75,144.26217579169358,95.53730262945771,14446.488222413058,14351.217579169357,105.53730262945771,6.000000000000001,20,0.001588149458816413,0.016379802596475097,0.1689374618927678,0.1705256113515842
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,43,True,-0.13023613325019776,0.738605814759156,-0.1511786163624411,0.7274449045244771,0.75,0.7429879293527505,-11.740174398450023,2.3730855782570464,-0.7012070647249513,-1.7401743984500229,45.0,7,1.3537798249251718e-07,2.8178976925310322e-08,5.899616569115198e-09,1.4127759906163237e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,44,True,-0.13023613325019776,0.738605814759156,-0.27914173170624174,0.6894439781969812,0.75,0.7438098583993351,-22.042015844765366,15.681123501113877,-0.6190141600664889,-12.04201584476536,45.0,8,1.351836375722935e-07,5.482668387380047e-08,2.2274279349014368e-08,1.5745791692130788e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,45,True,-0.13023613325019776,0.738605814759156,-0.08365419399347883,0.7445639615030291,0.75,0.7492486349282077,-6.410484519437047,4.696143713237679,-0.07513650717922982,3.589515480562966,45.0,4,1.377982193136622e-07,1.550595702357072e-08,1.7779800451483306e-09,1.3957619935881053e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,46,True,-0.13023613325019776,0.738605814759156,-0.3345896160068233,0.6653964828886356,0.75,0.7447836535398449,-26.69519255687885,21.707130668904732,-0.5216346460155119,-16.69519255687885,45.0,8,1.3518594142017615e-07,6.809951773544591e-08,3.434596934304662e-08,1.6953191076322277e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,47,True,-0.13023613325019776,0.738605814759156,86.12179566541519,-6.720093957958838,0.75,86.38358264994177,94.46175571570537,8657.39290531366,8563.358264994176,104.46175571570535,4.0,20,0.0004143792814872959,0.0053091869429700836,0.06802335322703942,0.06843773250852672
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,48,True,-0.13023613325019776,0.738605814759156,-0.3684291041602888,0.6477153603420035,0.75,0.7451678957223831,-29.631794212542612,25.494502563323717,-0.4832104277616933,-19.631794212542616,45.0,8,1.3505193121443502e-07,7.696280631254447e-08,4.390259123854912e-08,1.7895452245298413e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,49,True,-0.13023613325019776,0.738605814759156,89.58769825068276,-8.899068408786576,0.75,90.02860154639552,95.67278666943514,9023.409840275957,8927.860154639551,105.67278666943514,6.000000000000001,20,0.0006395542209307682,0.006437242013984593,0.06479214041793409,0.06543169463886486
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,50,True,-0.13023613325019776,0.738605814759156,-0.07867145675073554,0.7448006332659605,0.75,0.748944044252078,-6.0296537879716885,5.193545647076222,-0.1055955747922055,3.9703462120283177,45.0,4,1.376925587974803e-07,1.4566537744796294e-08,1.5740986806367015e-09,1.39266657478117e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,51,True,-0.13023613325019776,0.738605814759156,-0.18024482615365195,0.7205687193305604,0.75,0.7427701371439512,-14.043924987081587,5.316207461538961,-0.7229862856048763,-4.043924987081596,45.0,7,1.3521807412535314e-07,3.387804364759014e-08,8.522720713977202e-09,1.4374079483933033e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,52,True,-0.13023613325019776,0.738605814759156,-0.2019843708274303,0.7232974532262479,0.75,0.7509706331822364,-15.60265231742123,7.3363175560094325,0.09706331822364467,-5.602652317421217,45.0,4,1.381543672234834e-07,3.864243348009432e-08,1.0843766628134953e-08,1.4899813385161836e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,53,True,-0.13023613325019776,0.738605814759156,-0.19610973275800586,0.7169046621599631,0.75,0.7432437836330064,-15.299019262654118,6.935611823226956,-0.6756216366993639,-5.299019262654127,45.0,7,1.3533980191578316e-07,3.708215293407987e-08,1.019543990744699e-08,1.4553524182323014e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,54,True,-0.13023613325019776,0.738605814759156,-0.2480875476351182,0.7098790063749401,0.75,0.7519811400450673,-19.26342996085403,12.130204199628995,0.1981140045067331,-9.26342996085404,45.0,5,1.383422487080169e-07,4.8427725630689745e-08,1.6989227080447123e-08,1.55331475788464e-07
Dose,75cm_-10Grad.pickle,Dose/75cm_-10Grad.pickle,75.0,-10.0,55,True,-0.13023613325019776,0.738605814759156,141.60801904098875,-20.47446601118942,0.75,143.08051864302274,98.2271257134976,14331.687756900976,14233.051864302273,108.22712571349757,8.0,20,0.0025167215716675605,0.017405041892925095,0.12036909077486148,0.12288581234652904
