category,file,relative_path,distance_cm,angle_deg,trial,n_trials,ok,x_true_m,y_true_m,x_est_m,y_est_m,dist_true_m,dist_est_m,angle_est_deg,xy_err_cm,dist_err_cm,angle_err_deg,theta_est_deg,n_iter,cov_xx,cov_xy,cov_yy,cov_trace
Glas,<mean_over_trials>,<mean_over_trials>,50.0,-10.0,-1,100,True,-0.08682408883346517,0.492403876506104,-0.02123159266860893,0.49975325079475635,0.5,0.5002040505705371,-2.432699667906461,6.600294580979991,0.02040505705370732,7.567300332093538,45.0,5,6.149108912854851e-08,2.617035917425878e-09,1.4419254388135305e-10,6.163528167242986e-08
Glas,<mean_over_trials>,<mean_over_trials>,50.0,-5.0,-1,100,True,-0.04357787137382908,0.4980973490458728,-0.1230694148269066,0.48330649344293686,0.5,0.49872963363925427,-14.286210803868949,8.085588964336125,-0.12703663607457338,-9.286210803868954,45.0,5,6.098804724012188e-08,1.55592055581985e-08,4.004332111398291e-09,6.499237935152017e-08
Glas,<mean_over_trials>,<mean_over_trials>,50.0,0.0,-1,100,True,0.0,0.5,-0.2201224633764521,0.4493078669214698,0.5,0.5003313483686973,-26.100906067819484,22.58840216548504,0.0331348368697304,-26.100906067819494,45.0,5,6.100694079657556e-08,2.995234413756933e-08,1.4746232178487247e-08,7.57531729750628e-08
Glas,<mean_over_trials>,<mean_over_trials>,50.0,5.0,-1,100,True,0.04357787137382908,0.4980973490458728,-0.171852466299158,0.4694368006303692,0.5,0.49990417077594007,-20.106780052291686,21.73284551672299,-0.0095829224059929,-25.106780052291697,45.0,5,6.112464541418565e-08,2.2421101345644372e-08,8.261431296220242e-09,6.938607671040589e-08
Glas,<mean_over_trials>,<mean_over_trials>,50.0,10.0,-1,100,True,0.08682408883346517,0.492403876506104,-0.09959902713648211,0.49461960603095223,0.5,0.5045478380458568,-11.385107858980719,18.64362830172059,0.4547838045856789,-21.385107858980717,45.0,5,6.247285462111251e-08,1.2602940493678985e-08,2.5765349401436896e-09,6.50493895612562e-08
Glas,<mean_over_trials>,<mean_over_trials>,75.0,-10.0,-1,100,True,-0.13023613325019776,0.738605814759156,-0.1006074337605389,0.7441546072113537,0.75,0.7509247200364131,-7.699529947547829,3.014380419134382,0.09247200364130848,2.3004700524521695,45.0,4,1.3839072711552362e-07,1.8738939721856096e-08,2.5706994442938278e-09,1.4096142655981744e-07
Glas,<mean_over_trials>,<mean_over_trials>,75.0,-5.0,-1,100,True,-0.06536680706074363,0.7471460235688092,-0.09636265216522166,0.7404590628183011,0.75,0.7467030095306113,-7.414747564837799,3.170895548294883,-0.3296990469388694,-2.4147475648377963,45.0,4,1.368456781086126e-07,1.7836570357806766e-08,2.35812225326461e-09,1.3920380036187722e-07
Glas,<mean_over_trials>,<mean_over_trials>,75.0,0.0,-1,100,True,0.0,0.75,0.05222445884932285,0.74979192340999,0.75,0.7516084901815285,3.984327088146766,5.222487336482422,0.16084901815285324,3.984327088146756,45.0,5,1.3870060140437194e-07,-9.675556195106003e-09,7.078461023160634e-10,1.39408447506688e-07
Glas,<mean_over_trials>,<mean_over_trials>,75.0,5.0,-1,100,True,0.06536680706074363,0.7471460235688092,0.044343305800453446,0.746166070018743,0.75,0.7474825301079138,3.4009849933155705,2.1046327807998013,-0.25174698920862326,-1.599015006684425,45.0,5,1.3718867304932138e-07,-8.16538378247139e-09,5.188484702957848e-10,1.3770752151961717e-07
Glas,<mean_over_trials>,<mean_over_trials>,75.0,10.0,-1,100,True,0.13023613325019776,0.738605814759156,0.6045636774032245,0.4169745992031985,0.75,0.7344147713764873,55.40551923735051,57.309096831327246,-1.5585228623512748,45.40551923735052,-35.0,17,1.2541294912625464e-07,-1.824276466054797e-07,2.654641041490298e-07,3.9087705327528446e-07
Glas,<mean_over_trials>,<mean_over_trials>,100.0,-10.0,-1,100,True,-0.17364817766693033,0.984807753012208,0.2418043786233907,0.9653518214070298,1.0,0.9951751085187541,14.062295336829482,41.59078741774285,-0.48248914812458743,24.062295336829493,-45.0,4,2.4269436638075213e-07,-6.087179287330766e-08,1.5302446186558828e-08,2.5799681256731094e-07
Glas,<mean_over_trials>,<mean_over_trials>,100.0,-5.0,-1,100,True,-0.08715574274765817,0.9961946980917455,0.13873853068941677,0.9841156453876201,1.0,0.9938470623765763,8.024553969586163,22.621698938385027,-0.6152937623423727,13.024553969586151,-45.0,4,2.423390146261131e-07,-3.420876999413482e-08,4.862316739144729e-09,2.472013313652578e-07
Glas,<mean_over_trials>,<mean_over_trials>,100.0,0.0,-1,100,True,0.0,1.0,0.12782550027963788,0.9911403999507251,1.0,0.9993491136415857,7.34876388938049,12.813216237452957,-0.06508863584142599,7.3487638893804785,45.0,5,2.4505125694063357e-07,-3.164456317771224e-08,4.119676578660263e-09,2.491709335192938e-07
